Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL428755,0,COCn1cc(C(O)(C(=O)O)C(F)(F)F)c2cccc(OCc3ccccc3)c21,IC50,=,176000,nM,CHEMBL925644,Inhibition of PTP1B expressed in Sf9 cells,B,BAO_0000219,cell-based format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1140554,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308860
CHEMBL245425,2,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(C(F)(F)F)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,IC50,=,330,nM,CHEMBL902512,Inhibition of PTP1B by pNPP assay,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1138418,1,Scientific Literature,Bioorg Med Chem Lett,2007,None
CHEMBL211655,1,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,IC50,=,35,nM,CHEMBL902512,Inhibition of PTP1B by pNPP assay,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1138418,1,Scientific Literature,Bioorg Med Chem Lett,2007,None
CHEMBL1778906,0,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OCC(=O)O)cc1,IC50,>,30000,nM,CHEMBL1781409,Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1777723,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL397294,0,O=C(O)COc1c(C(=O)CO)sc(Br)c1Br,IC50,=,330000,nM,CHEMBL886819,Inhibition of PTP1B assessed as pNPP hydrolysis,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1139178,1,Scientific Literature,Bioorg Med Chem Lett,2007,None
CHEMBL397294,0,O=C(O)COc1c(C(=O)CO)sc(Br)c1Br,Ki,=,210000,nM,CHEMBL886819,Inhibition of PTP1B assessed as pNPP hydrolysis,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1139178,1,Scientific Literature,Bioorg Med Chem Lett,2007,None
CHEMBL1778902,1,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OCC=C(C)C)cc1,Inhibition,,,%,CHEMBL1781409,Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1777723,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL1779050,0,C=CCc1cc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)ccc1OC,Inhibition,,,%,CHEMBL1781409,Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1777723,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL1779054,1,C=C(C)C(C)c1cc(C(=O)/C=C/c2cc(Br)c(O)cc2O)ccc1OC,Inhibition,,,%,CHEMBL1781409,Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1777723,1,Scientific Literature,Bioorg Med Chem Lett,2011,None
CHEMBL402032,1,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)c2ncc(CCCCOc3cccc(O)c3C(=O)O)[nH]2)ccc1C1CC(=O)NS1(=O)=O,IC50,=,32,nM,CHEMBL927697,Inhibition of PTP1B by pNPP assay,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1140792,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL404319,1,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(Cc4ccccc4)[nH]3)cc2)S(=O)(=O)N1,IC50,=,250,nM,CHEMBL927697,Inhibition of PTP1B by pNPP assay,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1140792,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL253282,1,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(-c4ccccc4)[nH]3)cc2)S(=O)(=O)N1,IC50,=,160,nM,CHEMBL927697,Inhibition of PTP1B by pNPP assay,B,BAO_0000357,single protein format,None,CHEMBL335,Protein-tyrosine phosphatase 1B,Homo sapiens,SINGLE PROTEIN,CHEMBL1140792,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
